postcode,lat,lon,sub_category
WV16 5AY,52.536686,-2.43563,SMART_TO_SMART_MEX
EX7 0LB,50.570895,-3.474231,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
HX2 9RU,53.76013,-1.888386,SMART_TO_SMART_MEX
SA43 2ER,52.131438,-4.54521,NEW_CONNECTION
ME9 0AT,51.286411,0.764931,SMART_TO_SMART_MEX
G53 7ZD,55.802969,-4.361107,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
NE40 4SP,54.955612,-1.770694,TRAD_TO_SMART_MEX
AL1 4EB,51.759246,-0.329953,METER_MOVE
GL9 1HZ,51.507234,-2.336129,TRACE_AND_LABEL
BB9 8JR,53.841196,-2.198867,TRAD_TO_SMART_MEX
NG20 8UG,53.204073,-1.210811,SMART_TO_SMART_MEX
CM9 6RZ,51.739323,0.603779,SMART_TO_SMART_MEX
KT20 6NT,51.288929,-0.219303,TRAD_TO_SMART_MEX
SP5 4BW,51.028548,-1.904125,TRAD_TO_SMART_MEX
LA9 5HL,54.313275,-2.749715,SMART_TO_SMART_MEX
AB12 5YP,57.10274,-2.179606,SMART_TO_SMART_MEX
UB5 6LB,51.534357,-0.395956,NEW_CONNECTION
PH3 1DB,56.297007,-3.703368,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
RG10 9RP,51.476908,-0.867045,TRAD_TO_SMART_MEX
BN2 9ZJ,50.828346,-0.119907,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
S75 3NF,53.537785,-1.521593,TRAD_TO_SMART_MEX
DY4 9QH,52.538181,-2.06499,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
SY23 3HF,52.43977,-3.993651,TRAD_TO_SMART_MEX
HG4 3SD,54.163671,-1.649672,SMART_TO_SMART_MEX
NG14 5FB,52.989144,-1.030353,TRAD_TO_SMART_MEX
CO10 1LY,52.051085,0.727263,SMART_TO_SMART_MEX
YO32 5UG,54.03374,-1.034121,THREE_PHASE
SM4 5JG,51.400116,-0.188985,SMART_TO_SMART_MEX
HR2 7TG,52.048351,-2.71969,SMART_TO_SMART_MEX
HG3 2PR,54.029524,-1.68266,SMART_TO_SMART_MEX
BD5 8QU,53.772793,-1.74139,SMART_TO_SMART_MEX
DE5 3JQ,53.043512,-1.392378,SMART_TO_SMART_MEX
DG5 4QD,54.873454,-3.766278,SMART_TO_SMART_MEX
TF4 3UZ,52.653928,-2.486536,SMART_TO_SMART_MEX
BB4 4NH,53.685468,-2.33295,TRAD_TO_SMART_MEX
LL13 9PA,53.039632,-2.965403,TRAD_TO_SMART_MEX
LE2 6TS,52.591776,-1.127453,SMART_TO_SMART_MEX
GL50 3AW,51.897587,-2.082479,THREE_PHASE
PO36 9PJ,50.646181,-1.190091,TRAD_TO_SMART_MEX
RG20 7LU,51.52604,-1.293932,SMART_TO_SMART_MEX
DG7 1EJ,54.939467,-3.930222,TRAD_TO_SMART_MEX
EH23 4LX,55.833973,-3.086916,THREE_PHASE
SW19 8TL,51.421734,-0.191238,TRAD_TO_SMART_MEX
YO10 3DY,53.955258,-1.066062,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
SE13 7EQ,51.467347,-0.007272,SMART_TO_SMART_MEX
EH54 7AX,55.885724,-3.534647,SMART_TO_SMART_MEX
